incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
815510941,C17040298,8/14/2017 20:12,"ASSAULT, SIMPLE","ASSAULT, SIMPLE",,14400 Block MILITARY RD S,,SEATAC,WA,98168,,47.4743269,-122.2909881,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.2909881 47.4743269),20,Monday,Assault
815670886,C17040319,8/14/2017 21:00,"ASSAULT, SIMPLE","ASSAULT, SIMPLE",,3800 Block KLAHANIE DR SE,,ISSAQUAH,WA,98029,,47.5743839,-121.9979049,8/18/2017 5:30,9/13/2017 5:32,POINT (-121.9979049 47.5743839),21,Monday,Assault
815510936,C17040317,8/14/2017 21:36,"ASSAULT, SIMPLE","ASSAULT, SIMPLE",,9900 Block 4 AV SW,,SEATTLE,WA,98106,,47.5147639,-122.3396096,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3396096 47.5147639),21,Monday,Assault
815510933,C17040341,8/14/2017 22:00,"THEFT, AUTO","THEFT, AUTO",,28500 Block 37 PL S,,AUBURN,WA,98001,,47.3455631,-122.2857767,8/16/2017 5:37,9/14/2017 5:32,POINT (-122.2857767 47.3455631),22,Monday,Theft of Vehicle
815591730,C17040313,8/14/2017 22:00,TRESPASS,TRESPASS,,600 Block NE 165,,SHORELINE,WA,98155,,47.7488973,-122.3222172,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.3222172 47.7488973),22,Monday,Property Crime
815591731,C17040354,8/14/2017 22:00,"LARCENY, TFA","LARCENY, TFA",,20100 Block SE 261 CT,,COVINGTON,WA,98042,,47.367672,-122.0725651,8/17/2017 5:30,9/14/2017 5:32,POINT (-122.0725651 47.367672),22,Monday,Theft from Vehicle
815670885,C17040614,8/14/2017 22:00,"THEFT, AUTO","THEFT, AUTO",,400 Block S 156,,BURIEN,WA,98148,,47.4632843,-122.3286716,8/18/2017 5:30,9/15/2017 5:32,POINT (-122.3286716 47.4632843),22,Monday,Theft of Vehicle
815670883,C17040332,8/14/2017 22:30,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,26500 Block MAPLE VALLEY,,MAPLE VALLEY,WA,98038,,47.3636354,-122.0213963,8/18/2017 5:30,9/13/2017 5:32,POINT (-122.0213963 47.3636354),22,Monday,Property Crime
815428218,C17040115,8/14/2017 22:45,"ASSAULT, SIMPLE","ASSAULT, SIMPLE",,3000 Block S 208 ST,,SEATAC,WA,98198,,47.4154674,-122.296348,8/15/2017 5:30,9/13/2017 5:32,POINT (-122.296348 47.4154674),22,Monday,Assault
815510931,C17040326,8/14/2017 22:54,"CONTROLLED SUBSTANCE FOR DISPOSAL (I.E. NEEDLES, E","CONTROLLED SUBSTANCE FOR DISPOSAL (I.E. NEEDLES, E",,S 259 ST & CENTRAL AV S,,KENT,WA,98032,,47.3701013,-122.2299753,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.2299753 47.3701013),22,Monday,Drugs
815510930,C17040333,8/14/2017 23:15,"LARCENY, NSC","LARCENY, NSC",,1300 Block 3 AV,,SEATTLE,WA,98101,,47.6079224,-122.3359035,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3359035 47.6079224),23,Monday,Theft
